,Gene.title,P.Value
30704,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.97
30705,microRNA 600///MIR600 host gene,0.7
30706,Yip1 domain family member 5,0.00134
30707,olfactory receptor family 51 subfamily E member 2,0.754
30708,iron-sulfur cluster assembly 1,0.689
30709,olfactory receptor family 3 subfamily A member 3,0.651
30710,cyclin L2,0.00067
30711,transducin (beta)-like 1 X-linked receptor 1,1.65e-07
30712,testis expressed 13A,0.258
30713,ring finger protein 146,1.27e-05
30714,olfactory receptor family 12 subfamily D member 3,0.269
30715,solute carrier family 25 member 28,0.977
30716,fibroblast growth factor 21,0.0283
30717,SRA stem-loop interacting RNA binding protein,0.00271
30718,hydroxypyruvate isomerase (putative),0.39
30719,cell division cycle associated 3,0.89
30720,mitochondrial ribosomal protein S15,0.183
30721,testis expressed 12,0.266
30722,"RB binding protein 9, serine hydrolase",0.384
30723,"RB binding protein 9, serine hydrolase",0.231
30724,goosecoid homeobox 2,0.175
30725,melanocortin 3 receptor,0.0316
30726,prolactin releasing hormone,0.715
30727,taste 2 receptor member 16,0.445
30728,olfactory receptor family 1 subfamily A member 2,0.0245
30729,ADAM metallopeptidase domain 30,0.668
30730,glycosyltransferase 8 domain containing 2,0.642
30731,testis expressed 15,0.234
30732,integrin alpha FG-GAP repeat containing 1,0.00288
30733,protocadherin beta 13,0.0598
30734,olfactory receptor family 2 subfamily W member 1,0.535
30735,transmembrane protein 14B,0.57
30736,glucose-6-phosphatase catalytic subunit 2,0.753
30737,"BOK, BCL2 family apoptosis regulator",0.427
30738,uncharacterized LOC101929777///Wnt family member 3,0.505
30739,taste 2 receptor member 3,0.166
30740,butyrophilin like 2,0.809
30741,5-hydroxytryptamine receptor 1F,0.64
30742,trace amine associated receptor 5,0.0665
30743,olfactory receptor family 2 subfamily C member 1,0.0974
30744,taste 2 receptor member 9,0.476
30745,kallikrein related peptidase 15,0.427
30746,C-C motif chemokine ligand 24,0.868
30747,olfactory receptor family 1 subfamily D member 2,0.953
30748,olfactory receptor family 6 subfamily A member 2,0.934
30749,pyrimidinergic receptor P2Y4,0.339
30750,melanocortin 4 receptor,0.0511
30751,X-C motif chemokine receptor 1,0.0733
30752,G protein-coupled receptor 32,0.0369
30753,interleukin 37,0.656
30754,serine incorporator 3,0.017
30755,serine incorporator 3,6.6e-05
30756,serine incorporator 3,0.134
30757,myosin light chain 12B,0.855
30758,ribosomal protein L15,0.653
30759,ribosomal protein L15,0.349
30760,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial",0.725
30761,BCL2 interacting protein 3 like,0.0878
30762,BCL2 interacting protein 3 like,0.00413
30763,heterogeneous nuclear ribonucleoprotein D,0.75
30764,heterogeneous nuclear ribonucleoprotein D,0.00391
30765,cAMP regulated phosphoprotein 19,0.0135
30766,cAMP regulated phosphoprotein 19,9.96e-06
30767,"beta-1,4-galactosyltransferase 5",0.424
30768,"beta-1,4-galactosyltransferase 5",0.00106
30769,endosulfine alpha,0.0293
30770,endosulfine alpha,0.016
30771,cutA divalent cation tolerance homolog,0.0016
30772,sprouty RTK signaling antagonist 4,0.198
30773,ubiquitin associated protein 1,0.0248
30774,"HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 6 (pseudogene)///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1",0.153
30775,autophagy related 3,0.216
30776,TSPY like 1,0.77
30777,eukaryotic translation initiation factor 3 subunit K,0.000306
30778,transcription factor 25,3.34e-07
30779,"transducer of ERBB2, 2",0.0423
30780,egl-9 family hypoxia inducible factor 1,0.0553
30781,sorting nexin family member 27,2.81e-05
30782,syntaxin 16,0.239
30783,syntaxin 16,0.611
30784,"polycystin-1-like///nuclear pore complex interacting protein family member A8///nuclear pore complex interacting protein family member A7///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member A2///nuclear pore complex interacting protein family member A3///polycystin 1, transient receptor potential channel interacting pseudogene 1///nuclear pore complex interacting protein family member A1",0.473
30785,karyopherin subunit alpha 3,5.61e-06
30786,karyopherin subunit alpha 3,0.507
30787,ATPase H+ transporting V1 subunit H,4.67e-08
30788,acidic nuclear phosphoprotein 32 family member E,0.323
30789,transportin 2,0.0188
30790,transportin 2,0.483
30791,TAO kinase 3,0.213
30792,density regulated re-initiation and release factor,0.866
30793,glutaminase,0.0033
30794,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1,0.682
30795,transmembrane protein 222,0.00117
30796,"ALG11, alpha-1,2-mannosyltransferase///UTP14A small subunit processome component///UTP14, small subunit processome component homolog C (S. cerevisiae)",0.825
30797,UTP14A small subunit processome component,0.194
30798,leucine carboxyl methyltransferase 1,0.369
30799,mitochondrial elongation factor 1,0.5
30800,mediator complex subunit 17,0.0256
30801,ubiquitin specific peptidase 47,0.439
30802,F-box and WD repeat domain containing 4,0.592
30803,cell division cycle associated 8,0.535
30804,GINS complex subunit 2,0.72
30805,ankyrin repeat domain 27,0.148
30806,Ras related GTP binding D,0.353
30807,Ras related GTP binding D,0.139
30808,zinc finger MIZ-type containing 2,0.000499
30809,par-3 family cell polarity regulator,0.0402
30810,par-3 family cell polarity regulator,0.681
30811,engulfment and cell motility 2,2.88e-06
30812,plasmalemma vesicle associated protein,0.0933
30813,basic helix-loop-helix family member e41,0.615
30814,WD repeat domain 61,0.139
30815,WD repeat domain 61,0.0574
30816,family with sequence similarity 162 member A,0.357
30817,chromosome 11 open reading frame 68,0.0125
30818,large 60S subunit nuclear export GTPase 1,0.249
30819,large 60S subunit nuclear export GTPase 1,0.497
30820,plexin A1,0.0508
30821,plexin A1,0.0114
30822,eukaryotic translation initiation factor 4E binding protein 1,0.00892
30823,"GTF2H2 family member C, copy 2///GTF2H2 family member C///general transcription factor IIH subunit 2B (pseudogene)///general transcription factor IIH subunit 2",0.641
30824,cysteine rich secretory protein LCCL domain containing 2,0.0388
30825,ER lipid raft associated 2,0.0771
30826,ER lipid raft associated 2,0.000132
30827,mediator complex subunit 16,0.0805
30828,mediator complex subunit 16,0.27
30829,pre-mRNA processing factor 18,0.343
30830,pre-mRNA processing factor 18,0.00155
30831,ILK associated serine/threonine phosphatase,0.688
30832,glutamate rich WD repeat containing 1,0.129
30833,"COX15, cytochrome c oxidase assembly homolog",0.000119
30834,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",0.683
30835,abhydrolase domain containing 6,0.00167
30836,magnesium transporter 1,0.395
30837,STE20-related kinase adaptor alpha,0.382
30838,cell division cycle 14B,0.119
30839,cell division cycle 14B,0.84
30840,lymphoid enhancer binding factor 1,0.00549
30841,lymphoid enhancer binding factor 1,0.134
30842,"MIS12, kinetochore complex component",0.523
30843,microtubule affinity regulating kinase 4,0.107
30844,sterol O-acyltransferase 1,0.327
30845,sirtuin 3,0.794
30846,dual specificity phosphatase 10,8.89e-06
30847,protein arginine methyltransferase 2,0.992
30848,calcium homeostasis modulator 2,4.25e-06
30849,nucleolar protein 3,0.282
30850,nucleolar protein 3,0.72
30851,"lin-7 homolog C, crumbs cell polarity complex component",0.0604
30852,Abelson helper integration site 1,0.00174
30853,methyltransferase like 5,0.000496
30854,TNF receptor associated factor 3,0.0219
30855,microRNA 6824///solute carrier family 26 member 6,0.264
30856,chromosome 7 open reading frame 25///proteasome subunit alpha 2,0.731
30857,selenocysteine lyase,0.508
30858,growth differentiation factor 15,0.495
30859,growth differentiation factor 15,0.165
30860,Ras association domain family member 4,0.346
30861,RPS10-NUDT3 readthrough///nudix hydrolase 3,4.84e-09
30862,"microRNA 1304///small nucleolar RNA, C/D box 5///small nucleolar RNA, H/ACA box 32///small nucleolar RNA, H/ACA box 40///small nucleolar RNA, H/ACA box 18///small nucleolar RNA, H/ACA box 1///small nucleolar RNA, H/ACA box 8///TATA-box binding protein associated factor, RNA polymerase I subunit D",0.000203
30863,linker for activation of T-cells family member 2,0.156
30864,"histone cluster 3, H2a",0.561
30865,potassium calcium-activated channel subfamily M alpha 1,0.643
30866,potassium calcium-activated channel subfamily M alpha 1,0.513
30867,calcium voltage-gated channel auxiliary subunit gamma 4,0.133
30868,E2F transcription factor 5,2.83e-05
30869,chromosome 19 open reading frame 24,0.71
30870,aldehyde dehydrogenase 6 family member A1,0.0375
30871,aldehyde dehydrogenase 6 family member A1,0.00388
30872,aldehyde dehydrogenase 6 family member A1,0.00157
30873,family with sequence similarity 64 member A,0.000357
30874,TBC1 domain family member 8,0.00563
30875,ribosomal protein L31,0.803
30876,RNA binding motif protein 48,0.384
30877,RNA binding motif protein 48,4.92e-05
30878,RNA binding motif protein 48,0.000239
30879,transmembrane protein 208,9.06e-06
30880,mediator complex subunit 27,0.763
30881,adipogenesis associated Mth938 domain containing,0.327
30882,adipogenesis associated Mth938 domain containing,0.00118
30883,Fc fragment of IgM receptor,0.000232
30884,Fc fragment of IgM receptor,0.000141
30885,peroxisomal biogenesis factor 16,0.408
30886,peroxisomal biogenesis factor 16,0.00166
30887,pipecolic acid and sarcosine oxidase,0.846
30888,high mobility group nucleosome binding domain 5,0.611
30889,actin gamma 1///actin beta,4.88e-07
30890,Wnt family member 6,0.424
30891,Wnt family member 6,0.796
30892,signal transducing adaptor family member 2,0.309
30893,PHD finger protein 7,0.708
30894,leucine rich repeats and transmembrane domains 1,0.413
30895,zinc finger AN1-type containing 6,0.866
30896,rabphilin 3A-like (without C2 domains),0.0385
30897,bone morphogenetic protein 8b,0.12
30898,TATA-box binding protein associated factor 9b,0.000448
30899,TATA-box binding protein associated factor 9b,0.0158
30900,TATA-box binding protein associated factor 9b,7.08e-05
30901,mitochondrial carrier 1,0.535
30902,apolipoprotein O,0.724
30903,microRNA 6516///small Cajal body-specific RNA 16///small nucleolar RNA host gene 20,0.00641
30904,transmembrane protein 126B,0.679
30905,brevican,0.546
30906,T-cell leukemia/lymphoma 6 (non-protein coding),0.000492
30907,zinc finger protein 506,0.267
30908,zinc finger protein 506,0.253
30909,tripartite motif containing 10,0.102
30910,glyoxylate reductase 1 homolog,0.0615
30911,HGH1 homolog,0.265
30912,DEAD-box helicase 4,0.102
30913,calcium voltage-gated channel subunit alpha1 I,0.0369
30914,WD repeat domain 4,0.401
30915,non-SMC condensin II complex subunit H2,0.47
30916,ribosomal protein L23a pseudogene 7///CENPB DNA-binding domains containing 1 pseudogene 1,0.045
30917,mitochondrial amidoxime reducing component 2,0.00912
30918,chromosome 11 open reading frame 98///LBH domain containing 1,0.914
30919,syntaxin 16,1.25e-05
30920,uncharacterized LOC102723559,0.0789
30921,p53-induced death domain protein 1,0.0423
30922,acyl-CoA thioesterase 9,0.0187
30923,,0.689
30924,arginine-glutamic acid dipeptide repeats,5.03e-06
30925,solute carrier family 45 member 2,0.408
30926,zinc finger protein 83,0.0204
30927,zinc finger DHHC-type containing 11B///zinc finger DHHC-type containing 11,0.829
30928,microRNA 6743///RIC8 guanine nucleotide exchange factor A,0.134
30929,agmatinase,0.26
30930,PPAN-P2RY11 readthrough///peter pan homolog (Drosophila),0.794
30931,mediator of RNA polymerase II transcription subunit 18-like///mediator complex subunit 18,6.71e-06
30932,immunoglobulin kappa locus///immunoglobulin kappa constant,0.245
30933,"asunder, spermatogenesis regulator",4.94e-06
30934,apolipoprotein L2,0.00717
30935,ubiquitin specific peptidase 3,0.0387
30936,EPS8 like 1,0.0453
30937,Rho guanine nucleotide exchange factor 10 like,0.000699
30938,ankyrin repeat and SOCS box containing 6,0.322
30939,interleukin 21 receptor,0.822
30940,myosin light chain 10,0.131
30941,myosin light chain 10,0.00442
30942,solute carrier family 22 member 7,0.498
30943,solute carrier family 22 member 7,0.318
30944,histamine receptor H3,0.884
30945,F11 receptor,0.497
30946,EPS8 like 1,0.778
30947,PYD and CARD domain containing,0.00117
30948,heat shock protein family B (small) member 8,0.239
30949,dynein axonemal intermediate chain 2,0.192
30950,acyl-CoA dehydrogenase family member 8,0.000268
30951,LIM homeobox 3,0.343
30952,immunoglobulin kappa locus///immunoglobulin kappa constant,0.225
30953,trafficking protein particle complex 9,0.346
30954,casein kinase 1 gamma 1,0.0702
30955,chordin,0.114
30956,choline phosphotransferase 1,0.0545
30957,coronin 1C,6.01e-06
30958,downstream neighbor of SON,0.04
30959,abhydrolase domain containing 6,0.893
30960,abhydrolase domain containing 6,1.32e-06
30961,ETS variant 7,0.188
30962,dentin sialophosphoprotein,0.468
30963,"protocadherin gamma subfamily B, 6",0.291
30964,centrosomal protein 290,2.29e-05
30965,nyctalopin,0.829
30966,spindle apparatus coiled-coil protein 1,0.274
30967,RecQ like helicase 5,0.0396
30968,multivesicular body subunit 12B,0.0377
30969,"IMP3, U3 small nucleolar ribonucleoprotein",4.23e-07
30970,phosphatidylinositol glycan anchor biosynthesis class P,0.347
30971,NLR family pyrin domain containing 2,0.112
30972,nucleophosmin,0.821
30973,mitochondrial ribosomal protein L34,0.0423
30974,mitochondrial ribosomal protein S18A,0.0991
30975,mitogen-activated protein kinase kinase kinase 2,4.94e-05
30976,serine/threonine/tyrosine kinase 1,0.028
30977,microtubule associated protein 1 light chain 3 gamma,0.484
30978,C-type lectin domain family 7 member A,0.000547
30979,DEAD-box helicase 50,0.262
30980,ubiquitin A-52 residue ribosomal protein fusion product 1,3.71e-05
30981,stimulated by retinoic acid 6,0.0768
30982,TM2 domain containing 3,0.0131
30983,BRCA1 interacting protein C-terminal helicase 1,0.244
30984,"VPS37B, ESCRT-I subunit",0.747
30985,suppressor of IKBKE 1,0.027
30986,unconventional SNARE in the ER 1,0.0552
30987,"VPS53, GARP complex subunit",0.134
30988,unc-45 myosin chaperone A,0.008
30989,zinc finger protein 839,0.0379
30990,eva-1 homolog B,0.14
30991,BRISC and BRCA1 A complex member 1,0.231
30992,WD repeat domain 74,0.0011
30993,MAP6 domain containing 1,0.0684
30994,"RRN3 homolog, RNA polymerase I transcription factor pseudogene 1",0.517
30995,,0.0435
30996,acyl-CoA synthetase bubblegum family member 2,0.412
30997,,0.0607
30998,A-kinase anchoring protein 13,0.0046
30999,leucine zipper tumor suppressor 1,0.17
31000,,0.456
31001,leucine zipper tumor suppressor 1,0.235
31002,leucine zipper tumor suppressor 1,0.194
31003,solute carrier family 4 member 5,0.295
31004,C-type lectin domain family 4 member A,0.0138
31005,WAS protein family member 2,0.0846
31006,ribosomal protein L22,0.0421
31007,"SUB1 homolog, transcriptional regulator",0.583
31008,X inactive specific transcript (non-protein coding),0.842
31009,collagen type V alpha 2 chain,0.0923
31010,collagen type V alpha 2 chain,0.16
31011,versican,0.00214
31012,calcium activated nucleotidase 1,0.0565
31013,G-patch domain containing 4,0.197
31014,proline rich coiled-coil 1,0.159
31015,WD repeat domain 48,0.00788
31016,Ral GTPase activating protein non-catalytic beta subunit,9.65e-05
31017,G protein subunit alpha 12,0.173
31018,Ral GTPase activating protein non-catalytic beta subunit,0.185
31019,myeloid derived growth factor,0.71
31020,leucine rich repeat containing 37 member A2,0.431
31021,YTH N6-methyladenosine RNA binding protein 1,0.502
31022,"CUGBP, Elav-like family member 1",0.226
31023,"CUGBP, Elav-like family member 1",0.398
31024,DDB1 and CUL4 associated factor 7,7.58e-05
